timestamp,channelTitle,id,publishedAt,title,viewCount,likeCount,commentCount,duration
2026-03-30 19:16:40,Monitor fantasma,L360RvONXWY,2024-12-15T18:10:25Z,Navajas filosóficas que debes conocer | Filosofía en breve,14916,1447,50,PT9M39S
2026-03-30 19:16:40,Monitor fantasma,1GlxmThKb70,2024-12-11T12:00:03Z,La nefasta historia de los zoológicos humanos,10489,969,79,PT11M10S
2026-03-30 19:16:40,Monitor fantasma,NOZJ544BNSQ,2024-12-06T23:00:29Z,¿Por qué la filosofía es importante?,14681,1527,92,PT12M8S
2026-03-30 19:16:40,Monitor fantasma,1xZ0XUIQp1Q,2024-12-01T23:30:00Z,10 Términos filosóficos que siempre has usado mal,63862,5853,260,PT11M47S
2026-03-30 19:16:40,Monitor fantasma,sWmN1qTzAwM,2024-11-27T12:01:09Z,El 99% de personas nunca tendrá personalidad,18795,2094,86,PT10M40S
2026-03-30 19:16:40,Monitor fantasma,9wcmXgLF5sY,2024-11-24T22:00:08Z,Qué es la Posmodernidad y por qué está llegando a su fin,57640,4561,359,PT15M44S
2026-03-30 19:16:40,Monitor fantasma,2Got--odpyM,2024-11-18T12:00:03Z,7 Paradojas que te harán reflexionar,14614,1298,45,PT10M2S
2026-03-30 19:16:40,Monitor fantasma,7AQlNkuSg2M,2024-11-14T12:00:06Z,Qué es el tiempo de calidad y cómo impacta en tu vida,14639,1649,76,PT11M3S
2026-03-30 19:16:40,Monitor fantasma,T12VBvnbBUg,2024-11-10T12:00:29Z,Byung-Chul Han: La sociedad de la transparencia,20603,1718,94,PT12M20S
2026-03-30 19:16:40,Monitor fantasma,g5_YJpg7ZfE,2024-11-07T12:00:47Z,Toda mi vida he pagado de más,16960,1799,156,PT11M17S
2026-03-30 19:16:40,Monitor fantasma,FPRe31CfmVY,2024-11-05T12:00:21Z,"Coaching, músculos y Lambos para todos",35008,3619,263,PT9M33S
2026-03-30 19:16:40,Monitor fantasma,30moX2k3V2M,2024-10-31T12:00:05Z,"La farsa de ""la mejor versión"" | Otro engaño del Coaching",79475,7366,523,PT11M28S
2026-03-30 19:16:40,Monitor fantasma,Hj6TGoCL8oY,2024-10-29T12:00:19Z,"No es flojera, no es depresión.",25338,2375,74,PT12M49S
2026-03-30 19:16:40,Monitor fantasma,jXV1hvQxvDU,2024-10-26T21:23:32Z,La paradoja del conocimiento: ¿Cómo sabes que sabes?,17575,2081,168,PT11M28S
2026-03-30 19:16:40,Monitor fantasma,0v12tOVccSk,2024-10-21T22:57:42Z,7 Frases que delatan a los débiles de mente,34342,3307,107,PT12M11S
2026-03-30 19:16:40,Monitor fantasma,JxU1VApOdUY,2024-10-18T12:00:22Z,Schopenhauer: ¿Qué es ser un hombre de bien?,14894,1506,75,PT12M21S
2026-03-30 19:16:40,Monitor fantasma,6TY07qC1B5s,2024-10-13T05:41:21Z,La permanencia del objeto,10138,1107,55,PT9M7S
2026-03-30 19:16:40,Monitor fantasma,HPmcOvGAzGE,2024-10-07T22:46:18Z,Las 6 Filosofías MÁS FALSAS que son una estafa,64889,4520,515,PT11M12S
2026-03-30 19:16:40,Monitor fantasma,Mcd9gFjItmM,2024-10-05T03:47:59Z,El estatus te está matando,31362,3248,188,PT11M23S
2026-03-30 19:16:40,Monitor fantasma,yiz-MBvvYEE,2024-09-30T02:36:52Z,Solo los tontos escuchan esta música | Filosofía,128556,11568,2078,PT11M25S
2026-03-30 19:16:40,Monitor fantasma,y6lwus2RzXw,2024-09-27T17:17:31Z,El Tao Te Ching (Dàodé jīng) | Reseña (resumen) del libro,14307,1302,73,PT10M46S
2026-03-30 19:16:40,Monitor fantasma,hPSYc6Uyi5c,2024-09-23T13:44:53Z,La TV está PEOR que nunca... y es una BUENA noticia,33012,3067,287,PT11M47S
2026-03-30 19:16:40,Monitor fantasma,rbv2y5JnNQs,2024-09-17T20:34:43Z,SUBVENCIONAR al artista no es sinónimo de desarrollo,20952,1973,281,PT10M53S
2026-03-30 19:16:40,Monitor fantasma,zt38Y9kxI4E,2024-09-14T02:44:03Z,¿MAQUIAVELO Se arrepintió de escribir EL PRÍNCIPE?,9675,1018,34,PT10M46S
2026-03-30 19:16:40,Monitor fantasma,74Zfzx0gFxg,2024-09-10T13:54:44Z,No hagas estas 5 COSAS y tu vida mejorará,46704,5315,266,PT10M24S
2026-03-30 19:16:40,Monitor fantasma,6bTRdZtsHg4,2024-09-07T05:40:14Z,Apoyar a MADURO es una incompatibilidad lógica,31900,4088,876,PT9M45S
2026-03-30 19:16:40,Monitor fantasma,UQtSdX8NwHE,2024-09-03T12:00:26Z,Te voy a SPOILEAR el futuro 🚀📴,37356,3066,254,PT11M37S
2026-03-30 19:16:40,Monitor fantasma,G6WpyiwNsvw,2024-08-31T20:40:24Z,¿Qué es capacitismo?,14361,1678,121,PT11M31S
2026-03-30 19:16:40,Monitor fantasma,ynvunlU0laI,2024-08-28T02:16:25Z,El imperativo categórico en La lista Schindler,12112,1299,76,PT11M3S
2026-03-30 19:16:40,Monitor fantasma,tKNRkmiT3Io,2024-08-24T23:19:37Z,"Nietzsche: ""El abismo te devuelve la mirada""",26167,2504,97,PT10M36S
2026-03-30 19:16:40,Monitor fantasma,QmNjinvPmpU,2024-08-22T23:49:41Z,Pesimismo aplicado: Tu OPTIMISMO apesta,21084,2145,114,PT10M33S
2026-03-30 19:16:40,Monitor fantasma,MkD35ZNYIQg,2024-08-21T03:16:55Z,El libro que REDEFINIÓ la mediocridad humana,60548,3843,200,PT10M55S
2026-03-30 19:16:40,Monitor fantasma,UwxDJGZJL9I,2024-08-20T03:14:24Z,El dinero 💸 NO resuelve problemas 🚫,17737,2035,236,PT10M12S
2026-03-30 19:16:40,Monitor fantasma,Xa_CrLOCEqg,2024-08-12T09:52:45Z,¿Eres un agente del Caos? El Joker y el síndrome del Hacker,13000,1437,93,PT11M48S
2026-03-30 19:16:40,Monitor fantasma,27uv6zWR-xU,2024-08-04T12:00:04Z,¿Qué es una IDEA? 💡🤔,11289,1120,56,PT10M35S
2026-03-30 19:16:40,Monitor fantasma,83uIr3JH3Vc,2024-07-31T10:34:08Z,Roro y la (supuesta) polémica TradWife,34985,3367,379,PT9M31S
2026-03-30 19:16:40,Monitor fantasma,-dP-_7oFb2o,2024-07-24T12:00:00Z,¿Eres un verdadero fan de la filosofía?,14330,1530,150,PT10M48S
2026-03-30 19:16:40,Monitor fantasma,PEBFe-LPLqQ,2024-07-20T12:00:23Z,"Men At Work,  Emil Cioran y la lucidez vertiginosa",13269,1378,101,PT11M52S
2026-03-30 19:16:40,Monitor fantasma,62u7KFf43x0,2024-07-15T12:00:12Z,Asimov: El culto a la ignorancia,447903,29302,2833,PT12M59S
2026-03-30 19:16:40,Monitor fantasma,ULMmlGDknAs,2024-07-10T00:32:30Z,NO busques el SENTIDO de la vida,28311,2683,196,PT10M33S
2026-03-30 19:16:40,Monitor fantasma,XnXwZ4zseEA,2024-07-04T12:00:39Z,La infantilización de la sociedad,83191,7148,790,PT11M36S
2026-03-30 19:16:40,Monitor fantasma,4I9JO9R4As0,2024-07-02T12:00:05Z,7 DEBATES que marcaron la Filosofía,16074,1248,73,PT14M59S
2026-03-30 19:16:40,Monitor fantasma,Dvi-zLImEcc,2024-06-24T11:03:35Z,¿Podría vivir toda la humanidad en una sola ciudad?,10059,965,124,PT14M29S
2026-03-30 19:16:40,Monitor fantasma,Jz-zkFTZhR4,2024-06-22T04:18:39Z,"Más allá del meme: Chomsky, sus principales ideas",14435,1385,71,PT11M26S
2026-03-30 19:16:40,Monitor fantasma,9BBr8ckVbJA,2024-06-18T11:00:16Z,La vida es un videojuego,10355,1098,91,PT12M42S
2026-03-30 19:16:40,Monitor fantasma,cuiMT_c5Yt8,2024-06-13T11:00:29Z,¿Qué existe? El debate filosófico más importante,21786,1849,170,PT13M34S
2026-03-30 19:16:40,Monitor fantasma,jUoRuQ7FT_A,2024-06-08T13:00:46Z,7 Pesimistas que no son Schopenhauer,14492,1357,124,PT11M12S
2026-03-30 19:16:40,Monitor fantasma,EKb_qnwcig0,2024-06-04T14:00:15Z,"Los 'no me baño', el cinismo y Diógenes de Sinope",11419,1309,120,PT11M31S
2026-03-30 19:16:40,Monitor fantasma,Tnvz2hhx-b0,2024-06-01T23:41:17Z,El libro de filosofía más devastador,34415,3057,254,PT13M25S
2026-03-30 19:16:40,Monitor fantasma,MWTI2qd3DOs,2024-05-29T01:43:40Z,Filosofía que DOMINAS sin saber filosofía,19245,1601,102,PT13M59S
2026-03-30 19:16:40,Monitor fantasma,L0SIkNJwZ5M,2024-05-24T02:12:19Z,El libro más corrosivo jamás escrito,32645,2296,179,PT13M55S
2026-03-30 19:16:40,Monitor fantasma,CAI9QvgfAek,2024-05-19T14:00:07Z,7 Filosofías muy perturbadoras,41028,3415,262,PT12M46S
2026-03-30 19:16:40,Monitor fantasma,F3_ZvT1bEYk,2024-05-15T16:29:47Z,El espíritu de la clase media,17321,1778,203,PT15M17S
2026-03-30 19:16:40,Monitor fantasma,6wvGLiDGJjc,2024-05-13T22:33:57Z,Hegel: ¿Qué es el espíritu absoluto?,27810,1734,136,PT13M1S
2026-03-30 19:16:40,Monitor fantasma,53fcWfOur8E,2024-05-06T14:00:04Z,Cuando la CIENCIA humilló a la FILOSOFÍA,57192,4094,474,PT11M25S
2026-03-30 19:16:40,Monitor fantasma,9Q-Pw6OeuOo,2024-05-04T01:43:25Z,Los 7 libros de filosofía más DIFÍCILES de comprender,107798,6198,397,PT12M23S
2026-03-30 19:16:40,Monitor fantasma,cHIIKDvrQ7I,2024-05-02T03:15:06Z,Por qué la filosofía puede ser la carrera del futuro,68995,4984,347,PT17M51S
2026-03-30 19:16:40,Monitor fantasma,GFCRKuvcTxg,2024-04-29T03:38:51Z,Jacques Lacan: El deseo y el sentimiento de culpa,34236,2300,90,PT11M15S
2026-03-30 19:16:40,Monitor fantasma,lgmlkxG_Tfc,2024-04-23T01:24:12Z,El síndrome del rey desnudo ¿Por qué elegimos ser estúpidos?,28206,2685,151,PT10M51S
2026-03-30 19:16:40,Monitor fantasma,ofVLVaESqH8,2024-04-18T14:00:41Z,Esta película de Chaplin nos revela algo muy turbio,12027,1427,81,PT9M38S
2026-03-30 19:16:40,Monitor fantasma,TXSvm4QZzCo,2024-04-14T13:00:20Z,El diagrama de la felicidad: desde Coelho hasta Nietzsche,27539,2151,158,PT15M57S
2026-03-30 19:16:40,Monitor fantasma,J-8TumPxoSQ,2024-04-12T09:37:40Z,¡Deja de llamar tóxico a todo!,16158,1842,115,PT13M33S
2026-03-30 19:16:40,Monitor fantasma,gNdZhAGKtZA,2024-04-08T23:58:25Z,La paradoja de Bentham y el utilitarismo filosófico,12449,1195,94,PT11M41S
2026-03-30 19:16:40,Monitor fantasma,K3vavcC_Ty0,2024-04-06T01:42:25Z,La Sociedad del Cansancio de Byung-Chul Han,89051,7477,531,PT15M29S
2026-03-30 19:16:40,Monitor fantasma,gooctxFfKR4,2024-04-02T23:32:40Z,Las 10 Red Flags que indican pensamiento de rebaño,36542,3648,301,PT11M56S
2026-03-30 19:16:40,Monitor fantasma,fEsqx4xHmoI,2024-04-01T02:02:50Z,El universo según Aristóteles,11121,921,79,PT14M13S
2026-03-30 19:16:40,Monitor fantasma,WsHq3FwhF2o,2024-03-28T19:09:02Z,¿La buena vida es cara? Respuesta a Jaime Bayly,46802,3985,326,PT13M47S
